,0
50,"AEC3209, Instructional and Event Planning in Agricultural and Life Sciences"
51,"AEC3313, Development and Role of Extension Education"
52,"AEC3322, Moral Leadership in Agriculture and Natural Resources"
53,"AEC3410, Fostering Innovation through Leadership"
54,"AEC3413, Working with People: Interpersonal Leadership Skills"
55,"AEC3414, Leadership Development"
56,"AEC4031, The Communication Process in Agricultural and Life Sciences"
57,"AEC4035, Communication Practices for Agricultural and Life Sciences"
58,"AEC4036, Advanced Agricultural Communication Production"
59,"AEC4200, Teaching Methods in Agricultural Education"
60,"AEC4202, Curriculum Development and Assessment Techniques in Emerging Agricultural Technologies"
61,"AEC4224, Special Methods in Teaching Agricultural Education"
62,"AEC4228, Laboratory Practices in Teaching Agricultural Education"
63,"AEC4323, Development and Philosophy of Agricultural Education"
64,"AEC4417, Leadership for Personal and Organizational Change"
65,"AEC4434, Communication and Leadership in Groups and Teams"
66,"AEC4465, Global Leadership"
67,"AEC4500, Program Development and Evaluation"
68,"AEC4504, Curriculum and Program Planning for Agricultural Education"
69,"AEC4930, Communication and Leadership Development Capstone Experience"
70,"AEC4932, Special Topics in Agricultural Education and Communication"
71,"AEC5032, Agricultural Media Writing"
72,"AEC5037, Agricultural Media Production"
73,"AEC5060, Public Opinion and Agricultural and Natural Resource Issues"
74,"AEC5206, Teaching Methods in Agricultural Education"
75,"AEC5324, Philosophy and Development of Agricultural Education"
76,"AEC5416, Critical and Creative Thinking in Problem Solving and Decision Making"
77,"AEC5454, Leadership Development for Extension and Community Nonprofit Organizations"
78,"AEC5541, Communication and Instructional Technologies in Agricultural and Life Sciences"
79,"AEC5544, Curriculum Development and Assessment Techniques in Emerging Agricultural Technologies"
80,"AEC5545, Special Methods in Teaching Agriculture"
81,"AEC5546, Program Planning in Agricultural Education"
82,"AEC6210, Designing Educational Programs in Agricultural Settings"
83,"AEC6211, Delivering Educational Programs in Agricultural Settings"
84,"AEC6229, Laboratory Instruction: Theory and Practice"
85,"AEC6300, Methodology of Planned Change"
86,"AEC6316, From America to Zimbabwe: An Overview of International Extension Systems"
87,"AEC6325, History and Philosophy of Agricultural Education"
88,"AEC6411, Organizational Leadership in Agriculture and Life Sciences"
89,"AEC6419, Communication and Competencies for Global Leadership"
90,"AEC6426, Development of a Volunteer Leadership Program"
91,"AEC6540, Agricultural and Natural Resources Communications Theory and Strategies"
92,"AEC6543, Teaching and Learning Theory: Applications in Agricultural Education"
93,"AEC6552, Evaluating Programs in Extension Education"
94,"AEC6611, Agricultural and Extension Adult Education"
95,"AEC6704, Extension Administration and Supervision"
96,"AEC6767, Research Strategies in Agricultural Education and Communication"
97,"AEC6932, Special Topics In Agricultural Education and Communication"
98,"AEC6980, Thesis/Dissertation Proposal Development"
99,"ALS2410, Challenge 2050: Global Uncertainty"
100,"ALS3415, Challenge 2050: Developing Tools for Changing the World"
101,"ALS4419, Challenge 2050: Creating Solutions"
102,"AOM2520, Global Sustainable Energy: Past, Present and Future"
103,"AOM3220, Agricultural Construction and Maintenance"
104,"AOM3333, Pesticide Application Techniques"
105,"AOM3734, Irrigation Principles and Practices in Florida"
106,"AOM4060, Agri-food Systems Innovation"
107,"AOM4314C, Power and Machinery Management"
108,"AOM4434, Precision Agriculture"
109,"AOM4444C, Electrical Power and Instrumentation for Agricultural Operations Management"
110,"AOM4455, Agricultural Operations and Systems"
111,"AOM4461, Sustainable Agricultural Systems"
112,"AOM4521, Introduction to Biofuels"
113,"AOM4642, Environmental Systems for Agricultural Structures"
114,"AOM4643, Environmental Hydrology: Principles and Issues"
115,"AOM4932, Special Topics in Agricultural Operations Management"
116,"AOM4933, Professional Practices in Agricultural Operations Management"
117,"AOM5435, Advanced Precision Agriculture"
118,"AOM6061, Agri-food Systems Innovation"
119,"AOM6735, Irrigation Principles and Management"
120,"AOM6736, Principles and Issues in Environmental Hydrology"
121,"AOM6932, Special Topics in Agricultural Operations Management"
122,"AGR3303, Genetics"
123,"AGR4212, Alternative Cropping Systems"
124,"AGR4214C, Applied Field Crop Production"
125,"AGR4231C, Forage Science and Range Management"
126,"AGR4304, Plant Chromosomes and Genomes"
127,"AGR4320, Plant Breeding"
128,"AGR4512, Physiology and Ecology of Crops"
129,"AGR4932, Agronomy Topics"
130,"AGR5230C, Florida Grassland Agroecosystems"
131,"AGR5266C, Field Plot Techniques"
132,"AGR5277C, Tropical Crop Production"
133,"AGR5307, Molecular Genetics for Crop Improvement"
134,"AGR5321C, Genetic Improvement of Plants"
135,"AGR5444, Ecophysiology of Crop Production"
136,"AGR5511, Crop Ecology"
137,"AGR6233, Tropical Grassland Agroecosystems"
138,"AGR6237C, Research Techniques in Forage Evaluation"
139,"AGR6322, Advanced Plant Breeding"
140,"AGR6325L, Plant Breeding Techniques"
141,"AGR6422C, Environmental Crop Nutrition"
142,"AGR6932, Topics in Agronomy"
143,"ALS4154, Global Agroecosystems"
144,"ALS4914, Project Team Research: Building Skills in Agrobiology"
145,"ALS5155, Global Agroecosystems"
146,"ALS6031, Project Team Research: Building Skills in Agrobiology"
147,"IPM5305, Principles of Pesticides"
148,"PCB2441, Biological Invaders"
149,"PLS3004C, Principles of Plant Science"
150,"PLS4601C, Principles of Weed Science"
151,"PLS5625, Upland Invasive Plant Management"
152,"PLS5632C, Integrated Weed Management"
153,"PLS5633, Aquatic Plant Management"
154,"PLS6626, Invasive Plant Ecology"
155,"PLS6655, Plant/Herbicide Interaction"
156,"ANS2002, The Meat We Eat"
157,"ANS2005, The Role of Animals in Human History"
158,"ANS2615C, Meat Selection and Grading"
159,"ANS3006, Introduction to Animal Science"
160,"ANS3006L, Introduction to Animal Science Laboratory"
161,"ANS3008, Livestock Behavior and Welfare"
162,"ANS3043, Growth and Development of Farm Animals"
163,"ANS3079L, Relationship of Form to Function in Horses"
164,"ANS3216, Introduction to Equine Science"
165,"ANS3217C, Equine Health Management"
166,"ANS3239L, Techniques in Equine Science"
167,"ANS3246L, Beef Production Practicum"
168,"ANS3250L, Dairy Cattle Practicum"
169,"ANS3251, Biology and Management of Dairy Cattle"
170,"ANS3319C, Reproductive Physiology and Endocrinology in Domestic Animals"
171,"ANS3384C, Genetics of Domestic Animals"
172,"ANS3404C, Food Animal Nutrition and Feeding"
173,"ANS3405, Equine Nutrition and Feeding Management"
174,"ANS3440, Principles of Animal Nutrition"
175,"ANS3613L, Livestock and Meat Evaluation"
176,"ANS3634C, Meats"
177,"ANS3934, Careers in the Livestock Industry"
178,"ANS4212L, Techniques in Farrier Science"
179,"ANS4218L, Horse Psychology and Training"
180,"ANS4231, Practicum in Horse Management and Training Technique"
181,"ANS4234, Horse Enterprise Management"
182,"ANS4241L, Intermediate Horse Training"
183,"ANS4243, Beef Cow-Calf Management"
184,"ANS4245C, Beef Background and Feedlot Management"
185,"ANS4318C, Equine Reproductive Management"
186,"ANS4382, Equine Genetics"
187,"ANS4388, Canine and Feline Genetics"
188,"ANS4604C, Live Animal Evaluation"
189,"ANS4605, Animal and Products Evaluation"
190,"ANS4623C, Pork Production"
191,"ANS4635C, Meat Processing"
192,"ANS4701, Physiology of the Mammary Gland and Lactation"
193,"ANS4905, Problems in Animal Science"
194,"ANS4931, Senior Seminar"
195,"ANS4932, Special Topics in Animal Sciences"
196,"ANS4941, Full-Time Practical Work Experience in Animal Science"
197,"ANS5935, Reproductive Biology Seminar and Research Studies"
198,"ANS6040, Concepts in Applied Ethology"
199,"ANS6288, Experimental Techniques and Analytical Procedures in Meat Research"
200,"ANS6313, Current Concepts in Reproductive Biology"
201,"ANS6387, Genetic Analysis of Complex Traits in Livestock"
202,"ANS6447, Ruminant Nutrition"
203,"ANS6449, Vitamins"
204,"ANS6452, Principles of Forage Quality Evaluation"
205,"ANS6636, Meat Technology"
206,"ANS6702, Physiology of the Mammary Gland and Lactation"
207,"ANS6704, Mammalian Endocrinology"
208,"ANS6711, Current Topics in Equine Nutrition and Exercise Physiology"
209,"ANS6714, Current Topics in Microbial Physiology in Animals"
210,"ANS6751, Physiology of Reproduction"
211,"ANS6775, Essentials of Livestock Immunology"
212,"ANS6905, Problems in Animal Science"
213,"ANS6932, Special Topics in Animal Science"
214,"ANS6933, Graduate Seminar in Animal Science"
215,"ANS6936, Graduate Seminar in Animal Molecular and Cell Biology"
216,"ANS6939, Animal Molecular and Cellular Biology Journal Colloquy"
217,"PCB6816, Thermal Physiology"
218,"ALS3110, Home and Community Gardening: Collegiate Master Gardener"
219,"ALS3923, Honors Orientation"
220,"ALS4404, International Studies"
221,"ALS4932, Special Topics"
222,"ALS4936, CALS Leadership Institute Seminar 1"
223,"ALS4937, CALS Leadership Institute Seminar 2"
224,"ALS4938, CALS Leadership Institute International Service and Learning Experience"
225,"ALS6921, Colloquium on Plant Pests of Regulatory Significance"
226,"ALS6925, Integrated Plant Medicine"
227,"ALS6931, Plant Medicine Program Seminar"
228,"ALS6942, Principles of Plant Pest Risk Assessment and Management"
229,"STA6093, Introduction to Applied Statistics for Agricultural and Life Sciences"
230,"ALS3153, Agricultural Ecology"
231,"ALS4161, Exotic Species and Biosecurity Issues"
232,"ALS4162, Consequences of Biological Invasions"
233,"ALS4163, Challenges in Plant Resource Protection"
234,"ALS5156, Agricultural Ecology Principles and Applications"
235,"ALS6046, Grant Writing"
236,"ALS6166, Exotic Species and Biosecurity Issues"
237,"ALS6935, Topics in Biological Invasions"
238,"ENY1001, Bugs and People"
239,"ENY2040, The Insects"
240,"ENY2041C, Practical Beekeeping"
241,"ENY2890, Using Insect Research to Understand the Nature of Scientific Engagement"
242,"ENY3005, Principles of Entomology"
243,"ENY3005L, Principles of Entomology Laboratory"
244,"ENY3007C, Life Science"
245,"ENY3222C, Biology and Identification of Urban Pests"
246,"ENY3225C, Principles of Urban Pest Management"
247,"ENY3451C, Insect Behavior"
248,"ENY3510C, Turf and Ornamental Entomology"
249,"ENY3563, Introduction to Tropical Entomology"
250,"ENY3830, Spider Biology"
251,"ENY4161, Insect Classification"
252,"ENY4202, Ecology of Vector-Borne Disease"
253,"ENY4208, Ecology and Conservation of Pollinators"
254,"ENY4210, Insects and Wildlife"
255,"ENY4230, Urban Pesticide Application"
256,"ENY4453, Behavioral Ecology and Systematics"
257,"ENY4455C, Social Insects"
258,"ENY4573, Beekeeping"
259,"ENY4573, Beekeeping I"
260,"ENY4574, Beekeeping II"
261,"ENY4592, Mosquito Biology"
262,"ENY4660, Medical and Veterinary Entomology"
263,"ENY4660L, Medical and Veterinary Entomology Laboratory"
264,"ENY4701, Forensic Entomology"
265,"ENY4823, Molecular Biology of Insects and Nematodes"
266,"ENY4905, Problems in Entomology"
267,"ENY4932, Special Topics in Entomology and Nematology"
268,"ENY5006, Graduate Survey of Entomology"
269,"ENY5006L, Graduate Survey of Entomology Laboratory"
270,"ENY5160C, Survey of Science with Insects"
271,"ENY5212, Insects and Wildlife"
272,"ENY5223C, Biology and Identification of Urban Pests"
273,"ENY5226C, Principles of Urban Pest Management"
274,"ENY5236, Insect Pest and Vector Management"
275,"ENY5241, Biological Control"
276,"ENY5332, Graduate Survey of Urban Vertebrate Pest Management"
277,"ENY5405, Insects as Vectors of Plant Pathogens"
278,"ENY5516, Turf and Ornamental Entomology"
279,"ENY5566, Tropical Entomology"
280,"ENY5572, Advanced Apiculture"
281,"ENY5611, Immature Insects"
282,"ENY6166, Insect Classification"
283,"ENY6203, Insect Ecology"
284,"ENY6203L, Insect Ecology Laboratory"
285,"ENY6206, Ecology of Vector-Borne Disease"
286,"ENY6207, Ecology and Conservation of Pollinators"
287,"ENY6401, Insect Physiology"
288,"ENY6401L, Insect Physiology Laboratory"
289,"ENY6406, Molecular Biology of Insects and Nematodes"
290,"ENY6454, Behavioral Ecology and Systematics of Insects"
291,"ENY6572, Apiculture I"
292,"ENY6575, Apiculture II"
293,"ENY6591C, Advanced Mosquito Identification"
294,"ENY6593, Advanced Mosquito Biology"
295,"ENY6651C, Insect Toxicology"
296,"ENY6665, Advanced Medical and Veterinary Entomology I"
297,"ENY6665L, Advanced Medical and Veterinary Entomology Laboratory"
298,"ENY6706, Forensic Entomology"
299,"ENY6821, Insect Microbiology"
300,"ENY6905, Problems in Entomology"
301,"ENY6931, Entomology Seminar"
302,"ENY6932, Special Topics in Entomology"
303,"ENY6934, Selected Studies in Entomology"
304,"ENY6942, Insect Diagnostics"
305,"IPM3022, Fundamentals of Pest Management"
306,"IPM4114, Insect Pest and Vector Management"
307,"IPM6021, Insect Pest and Vector Managem"
308,"NEM3002, Principles of Nematology"
309,"NEM5004C, Graduate Survey of Nematology"
310,"NEM5707C, Plant Nematology"
311,"NEM6101C, Nematode Morphology and Anatomy"
312,"NEM6102, Nematode Systematics and Molecular Phylogeny"
313,"NEM6708, Field Plant Nematology"
314,"NEM6905, Problems in Nematology"
315,"NEM6932, Special Topics in Nematology"
316,"NEM6942, Nematode Diagnostics"
317,"PMA4570C, Field Techniques in IPM"
318,"PMA5205, Citrus Pest Management"
319,"PMA6228, Field Techniques in Integrated Pest Management"
320,"ALS5934, Graduate Professional Development Seminar"
321,"BCH5045, Graduate Survey of Biochemistry"
322,"EVR3323, Introduction to Ecosystem Restoration"
323,"HOS5117C, Horticultural Plant Morphology and Identification"
324,"HOS5432, Advanced Nutritional Management of Ornamental Crops"
325,"HOS6070, Plant Materials for Conservation and Restoration"
326,"HOS6931, Horticultural Science Seminar"
327,"HOS6932, Special Topics"
328,"LDE3410C, Residential Landscape Design"
329,"LDE4404C, Advanced Residential Landscape Design"
330,"ORH1030, Plants, Gardening and You"
331,"ORH1283, Survey of Orchids"
332,"ORH2752, Sensory Gardening"
333,"ORH3222C, Turfgrass Culture"
334,"ORH3513C, Environmental Plant Identification and Use"
335,"ORH3773, Public Gardens"
336,"ORH3773L, Public Gardens Laboratory"
337,"ORH3815C, Florida Native Landscaping"
338,"ORH4236C, Ornamental Landscape Management"
339,"ORH4256, Nutritional Management of Nursery Crops"
340,"ORH4264, Greenhouse and Nursery Crop Culture"
341,"ORH4264L, Greenhouse and Nursery Crop Culture Laboratory"
342,"ORH4280, Orchidology"
343,"ORH4804, Annual and Perennial Gardening"
344,"ORH4804L, Annual and Perennial Gardening Laboratory"
345,"ORH4848, Landscape Plant Establishment"
346,"ORH4932, Special Topics in Environmental Horticulture"
347,"ORH4933, Professional Seminar in Environmental Horticulture"
348,"ORH5026C, Advanced Annual and Perennial Gardening"
349,"ORH5817C, Advanced Florida Native Landscaping"
350,"PLS3080, Introduction to Horticultural Therapy"
351,"PLS3223, Plant Propagation"
352,"PLS3223L, Plant Propagation Laboratory"
353,"PLS4081, Techniques in Horticultural Therapy"
354,"PLS4082, Program Management in Horticultural Therapy"
355,"PLS4105, Genome Editing and Plant Biotechnology"
356,"PLS4242C, Micropropagation of Horticultural Crops"
357,"PLS4950, Plant Science Capstone"
358,"PLS5222C, Propagation of Horticultural Crops"
359,"PLS5241C, Advanced Plant Micropropagation"
360,"FYC3001, Principles of Family, Youth and Community Sciences"
361,"FYC3005, Introduction to Personal and Family Financial Planning"
362,"FYC3101, Parenting and Family Development"
363,"FYC3112, Contemporary Family Problems and Interventions"
364,"FYC3115, Human Services"
365,"FYC3201, Foundations of Youth Development"
366,"FYC3401, Introduction to Social and Economic Perspectives on the Community"
367,"FYC3521, Community Food Systems"
368,"FYC4003, Personal and Family Financial Counseling"
369,"FYC4114, Ethical Issues in Family, Youth and Community Sciences"
370,"FYC4126, Urban and Rural America in Transition"
371,"FYC4202, Youth and Family Relations"
372,"FYC4212, Contemporary Youth Problems and Solutions"
373,"FYC4301, Engaging Communities for Decision Making and Action"
374,"FYC4408, Organizational Leadership for Nonprofits"
375,"FYC4409, Working with Nonprofit Organizations in Community Settings"
376,"FYC4410, Fund Raising for Community Nonprofit Organizations"
377,"FYC4426, Risk Management in Nonprofit Organizations"
378,"FYC4428, Human Resource Management for Nonprofits"
379,"FYC4503, Methods of Family Life Education"
380,"FYC4622, Planning and Evaluating Family, Youth and Community Science Programs"
381,"FYC4660, Family Policy"
382,"FYC4801, Applied Social Research Methods"
383,"FYC4803, Advanced Social Research Methods"
384,"FYC4931, Family, Youth, and Community Sciences Professional Development"
385,"FYC4932, Special Topics in Family, Youth, and Community Science"
386,"FYC4941, Practicum in Family, Youth and Community Sciences"
387,"FYC6117, Military Families in Community Context"
388,"FYC6207, Adolescent Problematic Behavior"
389,"FYC6221, Grant Proposals for Community-Based Organizations"
390,"FYC6223, Promoting Positive Youth Development"
391,"FYC6230, Theories of Family Development, Systems and Change"
392,"FYC6234, Theoretical Approaches to Youth Development"
393,"FYC6235, Prevention Science in Youth Development and Family Science"
394,"FYC6302, Sustainable Community Development"
395,"FYC6330, Theories of Community Development"
396,"FYC6421, Nonprofit Organizations"
397,"FYC6424, Fund Raising for Community Nonprofit Organizations"
398,"FYC6425, Risk Management in Nonprofit Organizations"
399,"FYC6620, Program Planning and Evaluation for Human Service Delivery"
400,"FYC6662, Public Policy and Human Resource Development"
401,"FYC6800, Scientific Reasoning and Research Design"
402,"FYC6802, Advanced Research Methods for Family, Youth, and Community Sciences"
403,"FYC6920, Capstone Project"
404,"FYC6932, Topics, in Family, Youth, and Community Sciences"
405,"FYC6933, Seminar in Human Resource Development"
406,"AEB2014, Economic Issues, Food and You"
407,"AEB2451, Economics of Resource Use"
408,"AEB3103, Principles of Food and Resource Economics"
409,"AEB3114L, Introduction to Agricultural Computer Applications"
410,"AEB3122, Financial Planning for Agribusiness"
411,"AEB3133, Principles of Agribusiness Management"
412,"AEB3144, Introduction to Agricultural Finance"
413,"AEB3281, Agricultural Macroeconomics"
414,"AEB3300, Agricultural and Food Marketing"
415,"AEB3315, Futures Markets and Risk Management in Agriculture"
416,"AEB3341, Selling Strategically"
417,"AEB3450, Introduction to Natural Resource and Environmental Economics"
418,"AEB3510, Quantitative Methods in Food and Resource Economics"
419,"AEB3550, Agricultural Data Analysis in Food and Resource Economics"
420,"AEB3671, Comparative World Agriculture"
421,"AEB3935, Food and Resource Economics Seminar"
422,"AEB4085, Agricultural Risk Management and the Law"
423,"AEB4123, Agricultural and Natural Resource Law"
424,"AEB4126, Agricultural and Natural Resource Ethics"
425,"AEB4138, Advanced Agribusiness Management"
426,"AEB4242, International Trade Policy in Agriculture"
427,"AEB4282, International Humanitarian Assistance"
428,"AEB4283, International Development Policy"
429,"AEB4325, Contemporary Issues in Agribusiness Management"
430,"AEB4334, Agricultural Price Analysis and Consumer Behavior"
431,"AEB4342, Agribusiness and Food Marketing Management"
432,"AEB4343, International Agribusiness Marketing"
433,"AEB4380, Agricultural Marketing Strategies"
434,"AEB4424, Human Resources Management in Agribusiness"
435,"AEB4673, International Agricultural Trade"
436,"AEB4931, Special Topics in Food and Resource Economics"
437,"AEB4951, Survey of Agricultural Economics"
438,"AEB5188, Economics of Agribusiness Decisions"
439,"AEB5326, Agribusiness Financial Management"
440,"AEB5516, Quantitative Methods in Agribusiness Decisions"
441,"AEB5757, Strategic Agribusiness Human Resource Management"
442,"AEB6106, Microeconomic Principles and Analysis"
443,"AEB6183, Agribusiness Risk Management"
444,"AEB6225, Public Policy and the Agribusiness Firm"
445,"AEB6385, Management Strategies for Agribusiness Firms"
446,"AEB6553, Elements of Econometrics"
447,"AEB6675, International Agribusiness Marketing"
448,"AEB6817, Survey Research Methods for Economists"
449,"AEB6933, Special Topics"
450,"AEB7108, Microeconomic Theory II"
451,"AEB7184, Production Economics"
452,"AEB7240, Macroeconomic Theory in Open Economies II"
453,"AEB7373, Consumer Demand and Applied Analysis"
454,"AEB7453, Natural Resource and Environmental Economics"
455,"AEB7453, Natural Resource Economics"
456,"AEB7571, Econometric Methods I"
457,"AEB7572, Econometric Methods II"
458,"AEB7645, Economic Development and Agriculture"
459,"BCH3025, Fundamentals of Biochemistry"
460,"DIE3310, Community Nutrition"
461,"DIE4125, Food Systems Management"
462,"DIE4125L, Food Systems Management Laboratory"
463,"DIE4245, Medical Nutrition Therapy Applications: Part 1"
464,"DIE4246, Medical Nutrition Therapy Applications: Part 2"
465,"DIE4436, Nutrition Counseling and Communication"
466,"DIE4505, Dietetics Seminar"
467,"DIE6241, Advanced Medical Nutrition Therapy"
468,"DIE6242, Advanced Medical Nutrition Therapy II"
469,"DIE6905, Problems in Dietetics"
470,"DIE6938, Advanced Dietetic Seminar"
471,"FOS2001, Man's Food"
472,"FOS3042, Introductory Food Science"
473,"FOS3060, Life After Graduation"
474,"FOS4202, Food Safety and Sanitation"
475,"FOS4222, Food Microbiology"
476,"FOS4222L, Food Microbiology Laboratory"
477,"FOS4223, Food and Environmental Virology"
478,"FOS4310L, Experimental Foods Laboratory"
479,"FOS4311, Food Chemistry"
480,"FOS4311L, Food Chemistry Laboratory"
481,"FOS4318, Flavor Chemistry"
482,"FOS4321C, Food Analysis"
483,"FOS4410C, Introduction to Unit Operations in Food Processing"
484,"FOS4427C, Principles of Food Processing"
485,"FOS4435C, Food Product Development"
486,"FOS4722C, Quality Control in Food Systems"
487,"FOS4731, Government Regulations and the Food Industry"
488,"FOS4936, Topics in Food Science"
489,"FOS5126C, Psychophysical Aspects of Foods"
490,"FOS5205, Current Issues in Food Safety and Sanitation"
491,"FOS5225C, Principles in Food Microbiology"
492,"FOS5437C, Food Product Development"
493,"FOS5645, Functional Foods and Nutraceuticals"
494,"FOS5732, Current Issues in Food Regulations"
495,"FOS6125C, Sensory Evaluation of Food"
496,"FOS6224, Food and Environmental Virology"
497,"FOS6226C, Advanced Food Microbiology"
498,"FOS6315C, Advanced Food Chemistry"
499,"FOS6317C, Flavor Chemistry and Technology"
500,"FOS6428C, Advanced Food Processing"
501,"FOS6455C, Industrial Food Fermentations"
502,"FOS6915, Research Planning"
503,"FOS6936, Topics in Food Science"
504,"FOS6938, Food Science Seminar"
505,"HUN2201, Fundamentals of Human Nutrition"
506,"HUN3403, Nutrition through the Life Cycle"
507,"HUN4221, Nutrition and Metabolism"
508,"HUN4445, Nutrition and Disease: Part 1"
509,"HUN4446, Nutrition and Disease: Part 2"
510,"HUN4813C, Laboratory Techniques in Molecular Nutrition"
511,"HUN4936, Topics in Human Nutrition"
512,"HUN6235, Macronutrients in Human Nutrition"
513,"HUN6245, Advanced Human Nutrition"
514,"HUN6301, Nutritional Aspects of Lipid Metabolism"
515,"HUN6305, Nutritional Aspects of Carbohydrates"
516,"HUN6321, Proteins and Amino Acids in Nutrition"
517,"HUN6331, Vitamins in Human Nutrition"
518,"HUN6356, Minerals in Nutrition"
519,"HUN6936, Topics in Nutritional Sciences"
520,"HUN6938, Nutritional Sciences Seminar"
521,"FRC1010, Growing Fruit for Fun and Profit"
522,"FRC3212, Introduction to Citrus Culture and Production"
523,"FRC3252, Tropical and Subtropical Fruits"
524,"FRC3274, Tree and Small Fruit Production"
525,"FRC3802, Viticulture for Table Grapes and Wine"
526,"HOS1014, Vegetable Gardening"
527,"HOS3020C, Principles of Horticultural Crop Production"
528,"HOS3222C, Greenhouse and Protected Agriculture"
529,"HOS3281C, Organic and Sustainable Crop Production"
530,"HOS3305, Introduction to Plant Molecular Biology"
531,"HOS3430C, Nutrition of Horticultural Crops"
532,"HOS4241C, Genetics and Breeding of Vegetable Crops"
533,"HOS4283C, Advanced Organic and Sustainable Crop Production"
534,"HOS4304, Horticultural Physiology"
535,"HOS4313C, Laboratory Methods in Plant Molecular Biology"
536,"HOS4332C, Principles of Postharvest Horticulture"
537,"HOS4341, Advanced Horticultural Physiology"
538,"HOS4932, Special Topics in Horticultural Sciences"
539,"HOS4933, Professional Development in Horticulture"
540,"HOS5085C, Principles of Postharvest Horticulture"
541,"HOS5242, Genetics & Breeding of Vegetable Crops"
542,"HOS5330, Postharvest Technologies for Horticultural Crops"
543,"HOS5711, Phytochemicals in Food & Health"
544,"HOS6201, Breeding Perennial Cultivars"
545,"HOS6236, Molecular Marker Assisted Plant Breeding"
546,"HOS6331, Postharvest Biology"
547,"HOS6355, Root and Rhizosphere Ecology"
548,"HOS6412, Nutrition of Horticultural Crops"
549,"HOS6545, Advanced Citriculture I"
550,"HOS6931, Horticultural Science Seminar"
551,"HOS6932, Special Topics"
552,"HOS6934, Professional Seminar Preparation"
553,"PCB5065, Advanced Genetics"
554,"PCB6528, Plant Cell and Developmental Biology"
555,"PCB7922, Journal Colloquy in Plant Molecular and Cellular Biology"
556,"PLS3421C, Hydroponic Systems"
557,"VEC2100, World Herbs and Vegetables"
558,"VEC3221C, Vegetable Production"
559,"WDS6005, Weed Management for Organic and Sustainable Cropping Systems"
560,"ALS3200C, AI in Agricultural and Life Sciences"
561,"BSC2891, Python Programming for Biology"
562,"BSC4434C, Introduction to Bioinformatics"
563,"BSC4467, Applications and Technologies of Synthetic Biology"
564,"BSC4913, Independent Research in Bioinformatics"
565,"BSC6438, R for Functional Genomics"
566,"BSC6459, Fundamentals of Bioinformatics"
567,"MCB2000, Microbiology"
568,"MCB2000L, Microbiology Laboratory"
569,"MCB2006, Microbes without Borders"
570,"MCB3015C, Lab Skills Bootcamp"
571,"MCB3020, Basic Biology of Microorganisms"
572,"MCB3020L, Laboratory for Basic Biology of Microorganisms"
573,"MCB3023, Principles of Microbiology"
574,"MCB3023L, Principles of Microbiology Laboratory"
